2019-01-23 23:59:59,b'RT @marcorubio: U.S. diplomats in #Venezuela should present their credentials to President @jguaido. Maduro has no authority to expel anyon\xe2\x80\xa6'
2019-01-23 23:59:59,b'RT @marcorubio: U.S. diplomats in #Venezuela should present their credentials to President @jguaido. Maduro has no authority to expel anyon\xe2\x80\xa6'
2019-01-23 23:59:59,b'RT @marcorubio: U.S. diplomats in #Venezuela should present their credentials to President @jguaido. Maduro has no authority to expel anyon\xe2\x80\xa6'
2019-01-23 23:59:58,b'RT @MMAFighting: Trace amount of same steroid metabolite found in Jon Jones\xe2\x80\x99 UFC 232 VADA test results (@marc_raimondi) https://t.co/Mqp4ys\xe2\x80\xa6'
2019-01-23 23:59:58,b'RT @marcorubio: U.S. diplomats in #Venezuela should present their credentials to President @jguaido. Maduro has no authority to expel anyon\xe2\x80\xa6'
2019-01-23 23:59:56,b'RT @marcorubio: U.S. diplomats in #Venezuela should present their credentials to President @jguaido. Maduro has no authority to expel anyon\xe2\x80\xa6'
2019-01-23 23:59:56,b'RT @FuckYugi: My last two brain cells during a math test https://t.co/Nl5maCg6Ys'
2019-01-23 23:59:56,b'RT @CGTNOfficial: Chinese city completes 5G autopilot bus driving test https://t.co/F821VTOPhu'
2019-01-23 23:59:55,b'RT @marcorubio: U.S. diplomats in #Venezuela should present their credentials to President @jguaido. Maduro has no authority to expel anyon\xe2\x80\xa6'
2019-01-23 23:59:55,b'RT @FuckYugi: My last two brain cells during a math test https://t.co/Nl5maCg6Ys'
2019-01-23 23:59:55,b'RT @marcorubio: U.S. diplomats in #Venezuela should present their credentials to President @jguaido. Maduro has no authority to expel anyon\xe2\x80\xa6'
2019-01-23 23:59:54,"b'@theaceofspaeder My first reaction before digging into Abreu\xe2\x80\x99s stats was \xe2\x80\x9cdoesn\xe2\x80\x99t pass sniff test\xe2\x80\x9d, but I think it\xe2\x80\x99\xe2\x80\xa6 https://t.co/v0dkZn2GMz'"
2019-01-23 23:59:54,"b""RT @Wonkette: If Trump would like Pelosi to stick her foot further up his ass and kick it around a bunch, he's welcome to test her some mor\xe2\x80\xa6"""
2019-01-23 23:59:54,"b'RT @MeetThePress: ""No one has a right to come to the House of Representatives and speak,"" @GerryConnolly says. ""They do that by invitation.\xe2\x80\xa6'"
2019-01-23 23:59:54,b'RT @marcorubio: U.S. diplomats in #Venezuela should present their credentials to President @jguaido. Maduro has no authority to expel anyon\xe2\x80\xa6'
2019-01-23 23:59:53,b'RT @marcorubio: U.S. diplomats in #Venezuela should present their credentials to President @jguaido. Maduro has no authority to expel anyon\xe2\x80\xa6'
2019-01-23 23:59:52,b'RT @marcorubio: U.S. diplomats in #Venezuela should present their credentials to President @jguaido. Maduro has no authority to expel anyon\xe2\x80\xa6'
